call_uuid,t0_timestamp,stt_ms,llm_ms,tts_ms,first_frame_ms,total_ms
38b39a8b-868c-4ad4-84c7-1160361f144e,1789778160.9885426,1718,389,1681,2927,3788
38b39a8b-868c-4ad4-84c7-1160361f144e,1789778173.8514063,246,331,3041,1438,3618
38b39a8b-868c-4ad4-84c7-1160361f144e,1789778192.1364017,314,384,1742,1499,2439
fe655da9-afee-4b2f-afb0-30cc953ceafe,1789778849.3041868,974,925,2296,2921,4195
fe655da9-afee-4b2f-afb0-30cc953ceafe,1789778872.3072548,490,79,1684,1497,2253
fe655da9-afee-4b2f-afb0-30cc953ceafe,1789778885.291283,292,69,1548,1159,1910
ebab3baf-0434-46ab-b6aa-83e09a842ff9,1789778908.1081598,295,1734,1785,2955,3814
5738b2fe-9e04-412e-8029-13c2ab4d1ec0,1789779185.4100904,706,575,2371,2502,3653
5738b2fe-9e04-412e-8029-13c2ab4d1ec0,1789779200.7561057,267,451,2190,1499,2909
5738b2fe-9e04-412e-8029-13c2ab4d1ec0,1789779217.7555654,413,430,1787,1732,2630
5738b2fe-9e04-412e-8029-13c2ab4d1ec0,1789779233.8829036,331,352,2540,1657,3223
5738b2fe-9e04-412e-8029-13c2ab4d1ec0,1789779252.1557279,306,670,2382,1948,3357
5738b2fe-9e04-412e-8029-13c2ab4d1ec0,1789779266.4784315,258,336,2377,1589,2972
5738b2fe-9e04-412e-8029-13c2ab4d1ec0,1789779282.9767394,313,386,3232,1631,3930
395781b5-713f-45fc-8587-6ff32cbe7870,1789779317.552719,295,768,3834,2097,4897
395781b5-713f-45fc-8587-6ff32cbe7870,1789779337.464581,458,446,2032,2049,2935
395781b5-713f-45fc-8587-6ff32cbe7870,1789779350.674724,338,411,3347,1678,4096
395781b5-713f-45fc-8587-6ff32cbe7870,1789779364.1533628,310,804,2504,2300,3619
395781b5-713f-45fc-8587-6ff32cbe7870,1789779380.755211,269,374,2303,1894,2946
395781b5-713f-45fc-8587-6ff32cbe7870,1789779401.2707648,396,413,1946,1805,2755
395781b5-713f-45fc-8587-6ff32cbe7870,1789779413.3338199,251,1388,2992,2759,4630
e73870d0-25a2-4065-9eee-55d59fbaed9e,1789781058.7427573,971,298,2360,2621,3629
e73870d0-25a2-4065-9eee-55d59fbaed9e,1789781084.4693758,339,364,2160,1558,2864
6069a2ba-f803-4837-a554-96c311736ffb,1789781623.9746234,1178,2539,4,0,3721
a81b140c-b985-4b70-ae03-b8469d014a1f,1789781773.985125,989,2571,3896,4941,7456
52688f9e-97eb-4051-9609-8d19723ff728,1789781836.0456862,334,2070,3161,4048,5566
48bda824-31bc-4be3-b40b-b6b0f7f5c306,1789782035.2820086,1356,688,2333,3166,4377
23d42a2a-cba7-4620-84f0-2b747609f561,1789782057.8319209,334,2279,2940,3893,5553
23d42a2a-cba7-4620-84f0-2b747609f561,1789782072.1342359,306,327,2757,1467,3391
23d42a2a-cba7-4620-84f0-2b747609f561,1789782086.0142415,440,17217,1913,18686,19570
23d42a2a-cba7-4620-84f0-2b747609f561,1789782119.296162,402,17230,1882,18659,19513
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783059.5950708,1427,2845,2845,5869,7117
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783084.0730102,384,366,2454,2089,3204
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783106.7333148,301,1195,2710,2899,4206
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783130.7134054,377,403,3494,3017,4273
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783156.1527944,387,384,2441,2025,3212
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783172.757709,584,337,2188,2163,3109
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783189.313732,298,1455,3793,3115,5546
c67014a1-98c5-46d7-8303-7cadda3c67ed,1789783221.7727454,351,291,3020,1513,3663
